Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.7
========================================

Computing frequent itemsets from dataset...
+-------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Frequent itemsets (min_sup=0.09)                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                               Itemset                                                               | Support % |
|                                          ('Surveyor Type: Volunteer', 'OnCurb') => ('Sidewalk: Damage',)                                           |  92.5795 %   |
|                                        ('Problems: None', 'Brooklyn') => ('Tree Diameter: (-0.001, 4.0]',)                                         |  92.5628 %   |
|                                ('Problems: None', 'Brooklyn', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                                |  92.5628 %   |
|                                    ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree') => ('Brooklyn',)                                     |  92.3083 %   |
|                            ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree', 'Status: Alive') => ('Brooklyn',)                            |  92.3083 %   |
|                    ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None') => ('Surveyor Type: TreesCount Staff',)                     |  92.2514 %   |
|            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)            |  92.2514 %   |
|                                               ('Street Tree', 'Status: Alive') => ('Health: Good',)                                                |  92.0729 %   |
|                                                 ('Problems: None', 'Street Tree') => ('Brooklyn',)                                                 |  91.7195 %   |
|                                        ('Problems: None', 'Street Tree', 'Status: Alive') => ('Brooklyn',)                                         |  91.7195 %   |
|              ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Street Tree') => ('Tree Diameter: (-0.001, 4.0]',)               |  91.7147 %   |
|      ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)      |  91.7147 %   |
|                                                 ('OnCurb', 'Brooklyn', 'Status: Alive') => (2019,)                                                 |  91.6879 %   |
|                                           ('Health: Good', 2019) => ('Surveyor Type: TreesCount Staff',)                                           |  91.6604 %   |
|                                  ('Health: Good', 2019, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                                   |  91.6604 %   |
|                                        ('Health: Good', 'Street Tree', 'Brooklyn') => ('Sidewalk: Damage',)                                        |  91.4983 %   |
|                               ('Health: Good', 'Street Tree', 'Brooklyn', 'Status: Alive') => ('Sidewalk: Damage',)                                |  91.4983 %   |
|                                       ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree') => (2018,)                                        |  91.4026 %   |
|                               ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree', 'Status: Alive') => (2018,)                               |  91.4026 %   |
|                     ('Sidewalk: No Sidewalk: Damage', 'Surveyor Type: TreesCount Staff') => ('Tree Diameter: (-0.001, 4.0]',)                      |  91.3032 %   |
|             ('Sidewalk: No Sidewalk: Damage', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)             |  91.3032 %   |
|                                      ('OnCurb', 'Problems: None', 2019) => ('Tree Diameter: (-0.001, 4.0]',)                                       |  91.0374 %   |
|                              ('OnCurb', 'Problems: None', 2019, 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                              |  91.0374 %   |
|                                           ('Health: Good', 2018) => ('Surveyor Type: TreesCount Staff',)                                           |  90.8771 %   |
|                                  ('Health: Good', 2018, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                                   |  90.8771 %   |
|                       ('OnCurb', 'Street Tree', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Sidewalk: Damage',)                       |  90.8310 %   |
|                                                    ('Problems: None', 'Street Tree') => (2018,)                                                    |  90.8195 %   |
|                                           ('Problems: None', 'Street Tree', 'Status: Alive') => (2018,)                                            |  90.8195 %   |
|                                       ('Health: Good', 'Street Tree', 2019) => ('Surveyor Type: Volunteer',)                                       |  90.4732 %   |
|                              ('Health: Good', 'Street Tree', 2019, 'Status: Alive') => ('Surveyor Type: Volunteer',)                               |  90.4732 %   |
|                                       ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree') => (2019,)                                        |  90.4425 %   |
|                               ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree', 'Status: Alive') => (2019,)                               |  90.4425 %   |
|                                   ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None') => ('Brooklyn',)                                   |  90.4402 %   |
|                          ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Status: Alive') => ('Brooklyn',)                           |  90.4402 %   |
|                                                  ('OnCurb', 'BK81', 'Status: Alive') => (11212,)                                                   |  90.2348 %   |
|                                            ('OnCurb', 'BK81', 'Brooklyn', 'Status: Alive') => (11212,)                                             |  90.2348 %   |
|                                                   ('OnCurb', 'Street Tree') => ('Health: Good',)                                                   |  90.1919 %   |
|                      ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree') => ('Surveyor Type: TreesCount Staff',)                      |  90.1079 %   |
|             ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)              |  90.1079 %   |
|                                  ('Surveyor Type: Volunteer', 'OnCurb', 'Status: Alive') => ('Sidewalk: Damage',)                                  |  90.0587 %   |
|                                                    ('Problems: None', 'Street Tree') => (2019,)                                                    |  89.8655 %   |
|                                           ('Problems: None', 'Street Tree', 'Status: Alive') => (2019,)                                            |  89.8655 %   |
|                        ('OnCurb', 'Problems: None', 'Surveyor Type: TreesCount Staff') => ('Tree Diameter: (-0.001, 4.0]',)                        |  89.5626 %   |
|               ('OnCurb', 'Problems: None', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                |  89.5626 %   |
|                                      ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None') => (2018,)                                      |  89.5528 %   |
|                             ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Status: Alive') => (2018,)                              |  89.5528 %   |
|                                         ('OnCurb', 'Problems: None') => ('Sidewalk: No Sidewalk: Damage',)                                         |  89.5496 %   |
|                                ('OnCurb', 'Problems: None', 'Status: Alive') => ('Sidewalk: No Sidewalk: Damage',)                                 |  89.5496 %   |
|                                            ('London planetree', 'OnCurb') => ('Platanus x acerifolia',)                                            |  89.4703 %   |
|                                            ('OnCurb', 'Platanus x acerifolia') => ('London planetree',)                                            |  89.4703 %   |
|                                   ('London planetree', 'OnCurb', 'Status: Alive') => ('Platanus x acerifolia',)                                    |  89.4703 %   |
|                                   ('OnCurb', 'Platanus x acerifolia', 'Status: Alive') => ('London planetree',)                                    |  89.4703 %   |
|                                   ('Health: Good', 'OnCurb', 'Brooklyn') => ('Surveyor Type: TreesCount Staff',)                                   |  89.3293 %   |
|                          ('Health: Good', 'OnCurb', 'Brooklyn', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                           |  89.3293 %   |
|                                          ('Health: Good', 'OnCurb', 'Street Tree') => ('Problems: None',)                                          |  89.1588 %   |
|                                 ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('Problems: None',)                                  |  89.1588 %   |
|                                      ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None') => (2019,)                                      |  88.6121 %   |
|                             ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Status: Alive') => (2019,)                              |  88.6121 %   |
|                                           ('Health: Good', 'Street Tree', 2019) => ('Sidewalk: Damage',)                                           |  88.3658 %   |
|                                  ('Health: Good', 'Street Tree', 2019, 'Status: Alive') => ('Sidewalk: Damage',)                                   |  88.3658 %   |
|                                           ('Health: Good', 'Street Tree', 2018) => ('Sidewalk: Damage',)                                           |  88.2916 %   |
|                                  ('Health: Good', 'Street Tree', 2018, 'Status: Alive') => ('Sidewalk: Damage',)                                   |  88.2916 %   |
|                                       ('Health: Good', 'Street Tree') => ('Sidewalk: No Sidewalk: Damage',)                                        |  88.1408 %   |
|                               ('Health: Good', 'Street Tree', 'Status: Alive') => ('Sidewalk: No Sidewalk: Damage',)                               |  88.1408 %   |
|                                               ('Sidewalk: No Sidewalk: Damage',) => ('Street Tree',)                                               |  88.1040 %   |
|                                       ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('Street Tree',)                                       |  88.1040 %   |
|                                   ('OnCurb', 'Problems: None', 'Brooklyn') => ('Tree Diameter: (-0.001, 4.0]',)                                    |  87.9549 %   |
|                           ('OnCurb', 'Problems: None', 'Brooklyn', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                           |  87.9549 %   |
|                                   ('Health: Good', 'OnCurb', 'Street Tree', 'Brooklyn') => ('Sidewalk: Damage',)                                   |  87.9086 %   |
|                          ('Health: Good', 'OnCurb', 'Street Tree', 'Brooklyn', 'Status: Alive') => ('Sidewalk: Damage',)                           |  87.9086 %   |
|                                                ('Brooklyn', 2019) => ('Surveyor Type: Volunteer',)                                                 |  87.8100 %   |
|                                          ('OnCurb', 'Street Tree', 'Status: Alive') => ('Health: Good',)                                           |  87.7586 %   |
|                             ('Health: Good', 'Problems: None', 'Street Tree') => ('Surveyor Type: TreesCount Staff',)                              |  87.6970 %   |
|                     ('Health: Good', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                     |  87.6970 %   |
|                                      ('Health: Good', 'OnCurb', 2019) => ('Surveyor Type: TreesCount Staff',)                                      |  87.3640 %   |
|                             ('Health: Good', 'OnCurb', 2019, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                              |  87.3640 %   |
|               ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None') => ('Surveyor Type: TreesCount Staff',)                |  87.2420 %   |
|       ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)       |  87.2420 %   |
|                                            ('OnCurb', 'Problems: None', 'Street Tree') => ('Brooklyn',)                                            |  87.1995 %   |
|                                   ('OnCurb', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Brooklyn',)                                    |  87.1995 %   |
|         ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Street Tree') => ('Tree Diameter: (-0.001, 4.0]',)          |  86.8536 %   |
| ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',) |  86.8536 %   |
|                                        ('Street Tree', 'Brooklyn') => ('Surveyor Type: TreesCount Staff',)                                         |  86.7589 %   |
|                                      ('Health: Good', 'OnCurb', 2018) => ('Surveyor Type: TreesCount Staff',)                                      |  86.7167 %   |
|                             ('Health: Good', 'OnCurb', 2018, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                              |  86.7167 %   |
|                                           ('Street Tree', 2019) => ('Surveyor Type: TreesCount Staff',)                                            |  86.6088 %   |
|                                               ('Surveyor Type: TreesCount Staff',) => ('Brooklyn',)                                                |  86.5822 %   |
|                                               ('OnCurb', 'Problems: None', 'Street Tree') => (2018,)                                               |  86.3439 %   |
|                                      ('OnCurb', 'Problems: None', 'Street Tree', 'Status: Alive') => (2018,)                                       |  86.3439 %   |
|                                  ('Health: Good', 'OnCurb', 'Street Tree', 2019) => ('Surveyor Type: Volunteer',)                                  |  86.2158 %   |
|                         ('Health: Good', 'OnCurb', 'Street Tree', 2019, 'Status: Alive') => ('Surveyor Type: Volunteer',)                          |  86.2158 %   |
|                ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Surveyor Type: TreesCount Staff') => ('Tree Diameter: (-0.001, 4.0]',)                 |  86.1763 %   |
|        ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)        |  86.1763 %   |
|                                           ('Street Tree', 2018) => ('Surveyor Type: TreesCount Staff',)                                            |  86.0882 %   |
|                                        ('Brooklyn', 2019, 'Status: Alive') => ('Surveyor Type: Volunteer',)                                        |  85.8236 %   |
|                                                    ('Brooklyn', 2019) => ('Sidewalk: Damage',)                                                     |  85.7646 %   |
|                                                  ('Surveyor Type: TreesCount Staff',) => (2018,)                                                   |  85.7327 %   |
|                                               ('OnCurb', 'Problems: None', 'Street Tree') => (2019,)                                               |  85.4369 %   |
|                                      ('OnCurb', 'Problems: None', 'Street Tree', 'Status: Alive') => (2019,)                                       |  85.4369 %   |
|                 ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree') => ('Surveyor Type: TreesCount Staff',)                 |  85.2908 %   |
|        ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Street Tree', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)         |  85.2908 %   |
|                                      ('Health: Good', 'Sidewalk: No Sidewalk: Damage') => ('Problems: None',)                                      |  85.1898 %   |
|                             ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('Problems: None',)                              |  85.1898 %   |
|                                ('Street Tree', 'Brooklyn', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                                |  84.8405 %   |
|                                                  ('Surveyor Type: TreesCount Staff',) => (2019,)                                                   |  84.8321 %   |
|                                   ('Street Tree', 2019, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                                   |  84.2402 %   |
|                                       ('Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Brooklyn',)                                        |  84.2146 %   |
|                                      ('Health: Good', 'OnCurb', 'Street Tree', 2019) => ('Sidewalk: Damage',)                                      |  84.2076 %   |
|                             ('Health: Good', 'OnCurb', 'Street Tree', 2019, 'Status: Alive') => ('Sidewalk: Damage',)                              |  84.2076 %   |
|                                  ('Health: Good', 'OnCurb', 'Street Tree') => ('Sidewalk: No Sidewalk: Damage',)                                   |  84.0686 %   |
|                          ('Health: Good', 'OnCurb', 'Street Tree', 'Status: Alive') => ('Sidewalk: No Sidewalk: Damage',)                          |  84.0686 %   |
|                                   ('Street Tree', 2018, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                                   |  83.8274 %   |
|                                            ('Brooklyn', 2019, 'Status: Alive') => ('Sidewalk: Damage',)                                            |  83.8245 %   |
|                                     ('honeylocust', 'Health: Good') => ('Gleditsia triacanthos var. inermis',)                                     |  83.5211 %   |
|                                     ('Health: Good', 'Gleditsia triacanthos var. inermis') => ('honeylocust',)                                     |  83.5211 %   |
|                            ('honeylocust', 'Health: Good', 'Status: Alive') => ('Gleditsia triacanthos var. inermis',)                             |  83.5211 %   |
|                            ('Health: Good', 'Gleditsia triacanthos var. inermis', 'Status: Alive') => ('honeylocust',)                             |  83.5211 %   |
|                        ('Health: Good', 'OnCurb', 'Problems: None', 'Street Tree') => ('Surveyor Type: TreesCount Staff',)                         |  83.4850 %   |
|                ('Health: Good', 'OnCurb', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                |  83.4850 %   |
|                                          ('Surveyor Type: TreesCount Staff', 'Status: Alive') => (2018,)                                           |  83.3883 %   |
|                                          ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('Street Tree',)                                           |  83.3564 %   |
|                                  ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('Street Tree',)                                  |  83.3564 %   |
|                                              ('Sidewalk: No Sidewalk: Damage',) => ('Health: Good',)                                               |  83.3543 %   |
|                                      ('Sidewalk: No Sidewalk: Damage', 'Status: Alive') => ('Health: Good',)                                       |  83.3543 %   |
|                                                      ('Problems: None',) => ('Street Tree',)                                                       |  83.0740 %   |
|                                              ('Problems: None', 'Status: Alive') => ('Street Tree',)                                               |  83.0740 %   |
|                                   ('OnCurb', 'Street Tree', 'Brooklyn') => ('Surveyor Type: TreesCount Staff',)                                    |  83.0675 %   |
|                                           ('OnCurb', 'Surveyor Type: TreesCount Staff') => ('Brooklyn',)                                           |  82.5252 %   |
|                                      ('OnCurb', 'Street Tree', 2019) => ('Surveyor Type: TreesCount Staff',)                                       |  82.5188 %   |
|                                          ('Surveyor Type: TreesCount Staff', 'Status: Alive') => (2019,)                                           |  82.5123 %   |
|                                ('honeylocust', 'Health: Good', 'OnCurb') => ('Gleditsia triacanthos var. inermis',)                                |  82.2250 %   |
|                                ('Health: Good', 'Gleditsia triacanthos var. inermis', 'OnCurb') => ('honeylocust',)                                |  82.2250 %   |
|                       ('honeylocust', 'Health: Good', 'OnCurb', 'Status: Alive') => ('Gleditsia triacanthos var. inermis',)                        |  82.2250 %   |
|                       ('Health: Good', 'Gleditsia triacanthos var. inermis', 'OnCurb', 'Status: Alive') => ('honeylocust',)                        |  82.2250 %   |
|                                                           (2019,) => ('Problems: None',)                                                           |  82.1656 %   |
|                                               ('OnCurb', 'Brooklyn', 2019) => ('Sidewalk: Damage',)                                                |  82.1254 %   |
|                                      ('OnCurb', 'Street Tree', 2018) => ('Surveyor Type: TreesCount Staff',)                                       |  82.1154 %   |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 2019) => ('Tree Diameter: (-0.001, 4.0]',)                            |  82.0305 %   |
|                   ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 2019, 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                    |  82.0305 %   |
|                     ('Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Street Tree') => ('Surveyor Type: TreesCount Staff',)                     |  81.7355 %   |
|            ('Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)             |  81.7355 %   |
|                                              ('OnCurb', 'Surveyor Type: TreesCount Staff') => (2018,)                                              |  81.7155 %   |
|                                                          ('Health: Good',) => ('OnCurb',)                                                          |  81.6692 %   |
|                                                  ('Health: Good', 'Status: Alive') => ('OnCurb',)                                                  |  81.6692 %   |
|                                                  ('Bronx',) => ('Tree Diameter: (-0.001, 4.0]',)                                                   |  81.4102 %   |
|                                       ('Sidewalk: Damage', 'Health: Good') => ('Surveyor Type: Volunteer',)                                        |  81.3512 %   |
|                               ('Sidewalk: Damage', 'Health: Good', 'Status: Alive') => ('Surveyor Type: Volunteer',)                               |  81.3512 %   |
|                                                           (2018,) => ('Problems: None',)                                                           |  81.3025 %   |
|                                   ('Health: Good', 'Problems: None', 2018) => ('Tree Diameter: (-0.001, 4.0]',)                                    |  81.2456 %   |
|                           ('Health: Good', 'Problems: None', 2018, 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                           |  81.2456 %   |
|                           ('OnCurb', 'Street Tree', 'Brooklyn', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                           |  81.2336 %   |
|                                              ('OnCurb', 'Surveyor Type: TreesCount Staff') => (2019,)                                              |  80.8571 %   |
|                         ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Brooklyn') => ('Tree Diameter: (-0.001, 4.0]',)                         |  80.8406 %   |
|                ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Brooklyn', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                 |  80.8406 %   |
|                                 ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('Problems: None',)                                 |  80.6127 %   |
|                        ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('Problems: None',)                         |  80.6127 %   |
|                                                        ('Brooklyn',) => ('Problems: None',)                                                        |  80.5048 %   |
|                                  ('OnCurb', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Brooklyn',)                                   |  80.3484 %   |
|                                       ('OnCurb', 'Brooklyn', 2019, 'Status: Alive') => ('Sidewalk: Damage',)                                       |  80.2780 %   |
|                              ('OnCurb', 'Street Tree', 2019, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                              |  80.2345 %   |
|                                                      ('Health: Good',) => ('Status: Alive',)                                                       |  80.0366 %   |
|                                         ('Health: Good', 'London planetree') => ('Platanus x acerifolia',)                                         |  79.9746 %   |
|                                         ('Health: Good', 'Platanus x acerifolia') => ('London planetree',)                                         |  79.9746 %   |
|                                ('Health: Good', 'London planetree', 'Status: Alive') => ('Platanus x acerifolia',)                                 |  79.9746 %   |
|                                ('Health: Good', 'Platanus x acerifolia', 'Status: Alive') => ('London planetree',)                                 |  79.9746 %   |
|                              ('OnCurb', 'Street Tree', 2018, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                              |  79.9578 %   |
|                                                   (2019, 'Status: Alive') => ('Problems: None',)                                                   |  79.9294 %   |
|                                ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None') => ('Brooklyn',)                                |  79.8733 %   |
|                       ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Status: Alive') => ('Brooklyn',)                        |  79.8733 %   |
|                                                      ('Health: Good', 'Brooklyn') => (2018,)                                                       |  79.8335 %   |
|                                              ('Health: Good', 'Brooklyn', 'Status: Alive') => (2018,)                                              |  79.8335 %   |
|                                     ('OnCurb', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => (2018,)                                      |  79.5601 %   |
|                                   ('Health: Good', 'Problems: None', 2019) => ('Tree Diameter: (-0.001, 4.0]',)                                    |  79.5114 %   |
|                           ('Health: Good', 'Problems: None', 2019, 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                           |  79.5114 %   |
|                                                      ('Health: Good', 2019) => ('Brooklyn',)                                                       |  79.3616 %   |
|                                              ('Health: Good', 2019, 'Status: Alive') => ('Brooklyn',)                                              |  79.3616 %   |
|                                   ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None') => (2018,)                                   |  79.0896 %   |
|                          ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Status: Alive') => (2018,)                           |  79.0896 %   |
|                                                   (2018, 'Status: Alive') => ('Problems: None',)                                                   |  79.0401 %   |
|                                                      ('Health: Good', 'Brooklyn') => (2019,)                                                       |  78.9949 %   |
|                                              ('Health: Good', 'Brooklyn', 'Status: Alive') => (2019,)                                              |  78.9949 %   |
|                                                  ('OnCurb', 'Problems: None') => ('Street Tree',)                                                  |  78.8968 %   |
|                                         ('OnCurb', 'Problems: None', 'Status: Alive') => ('Street Tree',)                                          |  78.8968 %   |
|                                          ('Sidewalk: No Sidewalk: Damage', 'OnCurb') => ('Health: Good',)                                          |  78.8627 %   |
|                                 ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Status: Alive') => ('Health: Good',)                                  |  78.8627 %   |
|                                                ('Brooklyn', 'Status: Alive') => ('Problems: None',)                                                |  78.7589 %   |
|                                     ('OnCurb', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => (2019,)                                      |  78.7243 %   |
|                                                      ('Health: Good', 2018) => ('Brooklyn',)                                                       |  78.6834 %   |
|                                              ('Health: Good', 2018, 'Status: Alive') => ('Brooklyn',)                                              |  78.6834 %   |
|                                                      ('Problems: None',) => ('Health: Good',)                                                      |  78.5955 %   |
|                                              ('Problems: None', 'Status: Alive') => ('Health: Good',)                                              |  78.5955 %   |
|                                      ('Sidewalk: No Sidewalk: Damage', 'Street Tree') => ('Problems: None',)                                       |  78.5203 %   |
|                              ('Sidewalk: No Sidewalk: Damage', 'Street Tree', 'Status: Alive') => ('Problems: None',)                              |  78.5203 %   |
|                                ('Health: Good', 'Problems: None', 'Brooklyn') => ('Tree Diameter: (-0.001, 4.0]',)                                 |  78.4733 %   |
|                        ('Health: Good', 'Problems: None', 'Brooklyn', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                        |  78.4733 %   |
|                                      ('Health: Good', 'Problems: None') => ('Sidewalk: No Sidewalk: Damage',)                                      |  78.2946 %   |
|                             ('Health: Good', 'Problems: None', 'Status: Alive') => ('Sidewalk: No Sidewalk: Damage',)                              |  78.2946 %   |
|                                                      ('OnCurb', 2019) => ('Problems: None',)                                                       |  78.2718 %   |
|                                   ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None') => (2019,)                                   |  78.2588 %   |
|                          ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Problems: None', 'Status: Alive') => (2019,)                           |  78.2588 %   |
|                                 ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree') => ('Brooklyn',)                                  |  78.0174 %   |
|                         ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree', 'Status: Alive') => ('Brooklyn',)                         |  78.0174 %   |
|                                                      ('OnCurb', 2018) => ('Problems: None',)                                                       |  77.5199 %   |
|                                                   (2019,) => ('Sidewalk: No Sidewalk: Damage',)                                                    |  77.4746 %   |
|                ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Street Tree') => ('Surveyor Type: TreesCount Staff',)                |  77.3218 %   |
|       ('Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Problems: None', 'Street Tree', 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)        |  77.3218 %   |
|                                                          ('Street Tree',) => ('OnCurb',)                                                           |  77.2664 %   |
|                                    ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree') => (2018,)                                     |  77.2519 %   |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree', 'Status: Alive') => (2018,)                            |  77.2519 %   |
|                     ('Health: Good', 'Problems: None', 'Surveyor Type: TreesCount Staff') => ('Tree Diameter: (-0.001, 4.0]',)                     |  77.1694 %   |
|            ('Health: Good', 'Problems: None', 'Surveyor Type: TreesCount Staff', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)             |  77.1694 %   |
|                              ('Health: Good', 'OnCurb', 'Problems: None', 2018) => ('Tree Diameter: (-0.001, 4.0]',)                               |  77.1061 %   |
|                      ('Health: Good', 'OnCurb', 'Problems: None', 2018, 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)                      |  77.1061 %   |
|                                              ('OnCurb', 'Bronx') => ('Tree Diameter: (-0.001, 4.0]',)                                              |  77.0682 %   |
|                                                   ('OnCurb', 'Brooklyn') => ('Problems: None',)                                                    |  77.0000 %   |
|                                                   (2018,) => ('Sidewalk: No Sidewalk: Damage',)                                                    |  76.6608 %   |
|                                                 ('Health: Good', 'OnCurb', 'Brooklyn') => (2018,)                                                  |  76.5844 %   |
|                                         ('Health: Good', 'OnCurb', 'Brooklyn', 'Status: Alive') => (2018,)                                         |  76.5844 %   |
|                    ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Brooklyn') => ('Tree Diameter: (-0.001, 4.0]',)                    |  76.5808 %   |
|           ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'OnCurb', 'Brooklyn', 'Status: Alive') => ('Tree Diameter: (-0.001, 4.0]',)            |  76.5808 %   |
|                                  ('Sidewalk: No Sidewalk: Damage', 2018) => ('Surveyor Type: TreesCount Staff',)                                   |  76.4587 %   |
|                          ('Sidewalk: No Sidewalk: Damage', 2018, 'Status: Alive') => ('Surveyor Type: TreesCount Staff',)                          |  76.4587 %   |
|                                    ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree') => (2019,)                                     |  76.4404 %   |
|                            ('Health: Good', 'Sidewalk: No Sidewalk: Damage', 'Street Tree', 'Status: Alive') => (2019,)                            |  76.4404 %   |
|                                                  ('Health: Good', 'OnCurb') => ('Status: Alive',)                                                  |  76.3286 %   |
|                                              ('OnCurb', 2019, 'Status: Alive') => ('Problems: None',)                                              |  76.1337 %   |
